benchmark_id,subset_avg_score,difficulty,is_estimated_difficulty,cv,coefficient_of_variation,n,sample_size,spearman_rho,spearman_pvalue,spearman_ci_lower,spearman_ci_upper,kendall_tau,kendall_pvalue,kendall_ci_lower,kendall_ci_upper,rbo,spearman_rho_overall,spearman_pvalue_overall,kendall_tau_overall,kendall_pvalue_overall,rbo_overall,category,release_date,complexity,question_count
IFEval,88.51666666666665,11.483333333333348,False,0.033228904984856734,0.033228904984856734,20,20,0.026365365230536338,0.895552223888056,-0.45459911039973655,0.44809857869795733,0.026667520040962185,0.8895552223888056,-0.3231796694255601,0.3471205302066632,0.34618474800014454,0.1265537531065744,0.5957021489255372,0.1013365761556563,0.56071964017991,0.4088675526702761,Instruction Following,2023-11-14,Applying,541
Creative Writing v3,NaN,NaN,False,0.15631690250634173,0.15631690250634173,28,28,0.6368241467890694,0.0009995002498750624,0.2659498899862527,0.8402692930858049,0.4648111258522642,0.0009995002498750624,0.17591425740916233,0.6813649330915068,0.5329884918947145,0.6298932620355564,0.0009995002498750624,0.461540085207442,0.0009995002498750624,0.5248162689294937,Creative Writing,2025-11-01,Creating,96
WritingBench,76.69288888888889,23.307111111111112,False,0.09114779692349559,0.09114779692349559,29,29,0.3804066803384363,0.04597701149425287,0.01834312359758867,0.6566234393659681,0.24039819146839242,0.0769615192403798,-0.012902404738405735,0.4763185977719049,0.36352630333551,0.5999014535599901,0.001999000499750125,0.41481481481481475,0.001999000499750125,0.42310686447411305,Creative Writing,2025-03-07,Creating,1239
AA-LCR,47.69230769230769,52.30769230769231,False,0.4603618881600743,0.4603618881600743,63,63,0.4228441468502116,0.0005554568102604092,0.18872589327632752,0.6128222544717734,0.2884616840893841,0.0009624072314579421,0.12671686547666117,0.44353380546001825,0.28345029960876933,0.4797987630613553,6.921407579344734e-05,0.33040059062799115,0.0001554948711196038,0.3962458657967913,Hard Prompts,2025-08-05,Analyzing,100
ARC-AGI-2,4.111111111111111,95.88888888888889,False,1.278517036320516,1.278517036320516,26,26,0.5158874810192171,0.00399800099950025,0.15226997639639459,0.7615443556205445,0.3659597348408807,0.008995502248875561,0.10506304697966916,0.59006556121961,0.6924618334325241,0.5770717147749015,0.0029985007496251873,0.41829070207837166,0.004997501249375313,0.7701739574920681,Hard Prompts,2025-03-24,Analyzing,360
FACTS,NaN,49.92212551558533,True,0.18372152838364045,0.18372152838364045,12,12,0.6619975125797373,0.020989505247376312,0.049823346976852735,0.9515472706996586,0.5038314736557788,0.0239880059970015,-0.00040983606557374724,0.8676199043719331,0.7895074871776624,0.6993006993006995,0.009995002498750625,0.4848484848484848,0.03398300849575212,0.8174162512876624,Hard Prompts,2025-12-11,Evaluating,1719
MMLU-Pro,83.44444444444444,16.555555555555557,False,0.06031506141036067,0.06031506141036067,71,71,0.7491520829830797,5.740167528435999e-14,0.6187871012819726,0.8421761801713741,0.5751020670962899,8.080333593811169e-12,0.4648114546121743,0.6789091182084154,0.5822323342558346,0.7691371633687942,4.7238498615147775e-15,0.5908261091564806,2.1159775982635963e-12,0.6044211850939476,Hard Prompts,2024-06-03,Evaluating,12000
GPQA,80.25384615384617,19.74615384615383,False,0.05155356345143952,0.05155356345143952,30,30,0.4711709706144257,0.008585287779872695,0.11502811226232044,0.7537540407487016,0.33564814814814814,0.009613921194455229,0.08153256106618022,0.5680437484962735,0.5285461066844429,0.44145961494796415,0.011427145078828633,0.31408324124629394,0.011896475689942556,0.5864222744889598,Expert,2023-11-20,Evaluating,448
GPQA Diamond,75.92592592592592,24.074074074074076,False,0.1487926347318467,0.1487926347318467,70,70,0.739881064125302,2.5319131242800273e-13,0.5736939214918741,0.8547641076720769,0.5872198235462267,1.4749325833275254e-12,0.4457949940016334,0.7092354124470573,0.34577035297206327,0.6594674193752991,2.2319729517638788e-10,0.48928025433408223,1.705164901364684e-09,0.4052147908889967,Expert,2023-11-20,Evaluating,198
Humanity's Last Exam,10.962962962962964,89.03703703703704,False,0.60821275788401,0.60821275788401,70,70,0.6155955082380388,1.4166544871856196e-08,0.436130598645901,0.7524048871972694,0.45888942275243005,5.70936393852492e-08,0.31886231660679415,0.5868557802901694,0.3598820567227857,0.537427249841863,9.461355869766683e-07,0.3904731646536379,2.3146760391917882e-06,0.4281072562422664,Expert,2025-01-24,Evaluating,2500
SuperGPQA,80.25384615384617,19.74615384615383,False,0.05155356345143952,0.05155356345143952,30,30,0.4711709706144257,0.008585287779872695,0.11502811226232044,0.7537540407487016,0.33564814814814814,0.009613921194455229,0.08153256106618022,0.5680437484962735,0.5285461066844429,0.44145961494796415,0.011427145078828633,0.31408324124629394,0.011896475689942556,0.5864222744889598,Expert,2025-02-20,Evaluating,26529
