benchmark_id,category,spearman_rho,spearman_pvalue,spearman_ci_lower,spearman_ci_upper,kendall_tau,kendall_pvalue,kendall_ci_lower,kendall_ci_upper,rbo,sample_size
Terminal-Bench v2.0,Coding,0.6433566433566434,0.03798100949525238,-0.07311823782160791,0.9718284064466082,0.5151515151515151,0.02798600699650175,-0.06672413793103446,0.9050151975683876,0.5029897058566624,12
IFBench,Instruction Following,0.36647575074039784,0.005470076046692058,0.09094338147496768,0.6149574399372814,0.2733068168803924,0.003316642503656201,0.06972446620334886,0.46505535650634294,0.2077827725999061,56
IFEval,Instruction Following,0.014470301628880865,0.9725137431284357,-0.5136157083493093,0.5047450089634924,0.03960590171906698,0.8685657171414293,-0.33635620480600503,0.4028961526687879,0.20754856157980073,18
Creative Writing v3,Creative Writing,0.7213249654340249,0.0009995002498750624,0.4391756372943845,0.8820946595426875,0.5358109035166855,0.0009995002498750624,0.30386124747995513,0.7240511777701449,0.39361957333987624,28
WritingBench,Creative Writing,0.5880817746846454,0.004997501249375313,0.2086750992069977,0.799329669020499,0.3999999999999999,0.0069965017491254375,0.13383708945827322,0.6039087948625174,0.3095976319189024,24
AA-LCR,Hard Prompts,0.5075505647184301,6.535381581216138e-05,0.2540745356091212,0.6994040927297204,0.3568931519160821,0.00012211089848246706,0.16645159905533652,0.5180911963893003,0.35485992719532794,56
ARC-AGI-2,Hard Prompts,0.39354574335728254,0.06696651674162919,-0.05639146933868777,0.7160079032996204,0.2951799640560386,0.06596701649175413,-0.009092315534794414,0.5655785800364429,0.3408169832242884,22
FACTS,Hard Prompts,0.7010989010989012,0.0069965017491254375,0.1609615531605901,0.9058295964125562,0.4945054945054945,0.014992503748125937,0.0617283950617284,0.7857142857142858,0.4709730963554855,14
MMLU-Pro,Hard Prompts,0.772168675505643,7.970228556815195e-14,0.6194277198994853,0.8701576447796088,0.6128748942718955,3.679152758338279e-12,0.47845914489404484,0.7206483968368522,0.490465345351788,64
GPQA,Expert,0.5616766549268808,0.00399800099950025,0.20456722749882505,0.8006009300864375,0.4093028175026302,0.00399800099950025,0.14810321183743,0.6398717134289504,0.49336975992455795,26
GPQA Diamond,Expert,0.6127905559421831,5.7775235756054196e-08,0.40218346999032223,0.7685823619770469,0.4598372233107145,9.535897075929195e-08,0.2925342896296485,0.6083224607733451,0.5331958334265605,65
Humanity's Last Exam,Expert,0.51966567243346,1.0803060694125862e-05,0.28668613416983724,0.7036460447168494,0.38846269063426714,1.0875943741600323e-05,0.20440664742695114,0.5478644528886345,0.5494277869947447,64
SuperGPQA,Expert,0.5616766549268808,0.00399800099950025,0.20456722749882505,0.8006009300864375,0.4093028175026302,0.00399800099950025,0.14810321183743,0.6398717134289504,0.49336975992455795,26
